堤	tai4
堪	ham1
堯	jiu4
堰	jin3
報	bu3
場	coeng4
堵	du2
堿	gen2
塊	faai3
塋	jing4
塌	taap3
塍	sing4
塑	slok3
塔	taap3
塗	tu4
塘	tong4
塚	zung2
塞	slak1
塞	soi3
塢	wu1
填	tin4
塵	can4
境	ging2
墊	dim6
墓	mu6
墜	zui6
增	zang1
墟	hyu1
墨	mak6
墩	dan1
墳	fan4
墻	coeng4
墾	han2
壁	bik1
壅	ung1
壅	jung1
壇	taan4
壓	aat3
壕	hu4
壘	lui5
壞	waai6
壟	lung5
壠	lung5
壤	joeng6
壩	baa3
士	si6
壬	jam4
壯	zong3
壹	jat1
壺	wu4
壻	slai3
壽	sau6
复	fuk1
夏	haa6
夕	zik6
外	ngoi6
多	do1
夜	je6
夠	gau3
夢	mung6
夥	fo2
大	daai6
天	tin1
太	taai3
夫	fu1
夫	fu4
央	joeng1
夯	haang1
失	sat1
夷	ji4
夸	kwaa1
夾	gep6
奇	ki4
奇	gi1
奈	noi6
奉	fung6
奎	kwai4
奏	zau3
契	kai3
奔	ban1
套	tu3
奚	hai4
奠	din6
奢	se1
奧	u3
奪	dyut6
奮	fan5
女	nyu5
奴	nu4
奶	naai5
奸	gaan1
好	hu3
好	hu2
如	jyu4
妃	fi1
妄	mong6
妒	du6
妓	gi6
妖	jiu1
妗	kam5
妙	miu6
妥	to5
妨	fong4
妬	du6
妹	mui6
妻	cai1
妾	cip3
姊	zi2
始	ci2
姐	ze2
姑	gu1
姓	sling3
委	wai2
姘	ping3
姚	jiu4
姜	goeng1
姦	gaan1
姨	ji4
姪	zat6
姻	jan1
姿	zi1
威	wai1
娘	noeng4
娛	jyu4
娠	san4
娩	min5
娶	cyu2
婆	po4
婚	wan1
婢	pi5
婦	fu5
婿	slai3
媒	mui4
媚	mi6
媳	slik1
媽	maa1
嫁	gaa3
嫂	slu2
嫌	jim4
嫖	piu4
嫡	dik1
嫩	nyun6
嬉	hi1
嬌	giu1
嬔	faan3
嬰	jing1
嬸	sam2
孀	sloeng1
孃	noeng4
子	zi2
孔	hung2
孕	jan6
字	zi6
存	cyun4
孝	haau3
孟	maang6
季	gwai3
孤	gu1
孩	haai4
孫	slyun1
孵	fu1
學	hok6
孽	nit6
宁	ning4
宁	cyu5
宂	jung2
宅	zaak6
宇	jyu5
守	sau2
安	on1
宋	slung3
完	jyun4
宏	hung4
宕	dong6
宗	zung1
官	gun1
宙	zau6
定	ding6
宛	jyun2
宜	ni4
客	haak3
宣	slyun1
室	sat1
宦	waan6
宮	gung1
宰	zoi2
害	hoi6
宴	jin3
宵	sliu1
家	gaa1
容	jung4
宿	slau3
宿	sluk1
寂	zik6
寄	gi3
寅	jan4
密	mat6
寇	kau3
富	fu3
寐	mi6
寒	hon4
寓	jyu6
寞	mok6
察	caat3
寡	gwaa2
寢	cam2
寥	liu4
實	sat6
寧	ning4
寨	zaai6
審	sam2
寫	sle2
寬	fun1
寵	cung2
寶	bu2
寸	cyun3
寺	ci6
封	fung1
射	se6
將	zoeng3
將	zoeng1
專	zyun1
尊	zyun1
尋	cam4
對	dui3
導	du6
小	sliu2
少	siu3
少	siu2
尔	ji5
尖	zim1
尚	soeng6
尤	jau4
尥	liu6
尬	gaai3
就	zau6
尷	gaam3
尸	si1
尹	wan5
尺	cek3
尼	ni4
尾	mi5
尿	niu6
局	guk6
屁	pi3
居	gyu1
屆	gaai3
屈	wat1
屋	uk1
屍	si1
屎	si2
屏	ping4
屏	bing2
屐	kek1
屑	slit3
展	zin2
屜	tai3
屠	tu4
屢	lyu5
層	cang4
履	lyu5
屬	suk6
屯	tan4
山	saan1
岐	ki4
岑	cam4
岔	caa3
岡	gong1
岩	ngaam4
岭	leng5
岳	ngok6
岸	ngon6
峯	fung1
峰	fung1
島	du2
峽	haap6
崇	cung4
崑	kwan1
崔	cui1
崖	ngaai4
崗	gong1
崙	lan4
崩	bang1
嵌	ham3
嵩	slung1
嶺	leng5
嶽	ngok6
巖	ngaam4
川	cyun1
州	zau1
巡	can4
巢	caau4
工	gung1
左	zo2
巧	haau2
巨	gyu6
巫	mu1
差	caa1
差	caai1
差	ci1
己	gi2
已	ji5
巳	si6
巴	baa1
巷	hong2
巾	gan1
市	si5
布	bu3
帆	faan4
希	hi1
帕	paak3
帖	tip3
帘	lim4
帚	zau2
帛	baak6
帝	dai3
帥	sui3
師	si1
席	zik6
帳	zoeng3
帶	daai3
常	coeng4
帽	mu6
幅	fuk1
幔	maan6
幕	mok6
幣	bai6
幫	bong1
干	gon1
平	ping4
年	nin4
并	bing6
幸	hang6
幹	gon3
幺	jiu1
幻	waan6
幼	jau3
幽	jau1
幾	gi2
幾	gi1
广	jim5
广	gong2
庄	zong1
庇	bi3
床	cong4
序	zyu6
底	dai2
店	dim3
庙	miu6
庚	gang1
府	fu2
度	du6
度	dok6
座	zo6
庫	fu3
庭	ting4
庵	am1
庶	syu3
康	hong1
庸	jung4
廁	ci3
廁	cak1
廂	sloeng1
廈	haa6
廉	lim4
廊	long4
廓	kok3
廕	jam3
廖	liu6
廚	cyu4
廝	si1
廟	miu6
廠	cong2
廢	fai3
廣	gong2
廬	lu4
廳	teng1
延	jin4
廷	ting4
建	gin3
异	ji6
弄	nung6
弄	lung6
弊	bai6
式	sik1
弓	gung1
弔	diu3
引	jan5
弘	hung4
弟	dai6
弦	jin4
弱	joek6
張	zoeng1
強	koeng4
強	koeng5
強	goeng6
弼	bat6
彀	gau3
彆	bit3
彈	daan6
彈	ten4
彌	mi4
彎	waan1
彙	wui6
形	jing4
彩	coi2
彪	biu1
彫	diu1
彬	ban1
彭	paang4
影	jing2
彷	fong2
彷	pong4
役	jik6
彼	pi2
彿	fat1
往	wong5
征	zing1
待	doi6
很	han2
律	lat6
後	hau6
徐	cyu4
徑	ging3
徒	tu4
得	dak1
徙	slai2
徛	ki5
從	cung4
御	jyu6
復	fuk1
循	can4
微	mi4
徵	zing1
徵	zi2
德	dak1
徹	cit3
徽	fui1
心	slam1
必	bit1
忌	gi6
忍	jan5
忒	tak1
忖	cyun2
志	zi3
忘	mong4
忙	mong4
忠	zung1
快	faai3
念	nim6
忽	fat1
忿	fan5
怀	waai4
怒	nu6
怕	paa3
怖	bu3
怜	lin4
思	si1
怠	doi6
急	gap1
性	sling3
怨	jyun3
怪	gwaai3
怯	hip3
怱	cung1
恃	ci5
恆	hang4
恐	hung2
恒	hang4
恕	syu3
恢	fui1
恤	slat1
恥	ci2
恨	han6
恩	an1
恭	gung1
息	slik1
恰	haap3
悄	ciu1
悅	jyut6
悉	slat1
悔	fui2
悟	ng6
悠	jau4
患	waan6
悦	jyut6
悲	bi1
悶	mun6
情	cing4
惊	ging1
惑	waak6
惜	slik1
惟	wai4
惠	wai6
惡	wu3
惡	ok3
惰	do6
惱	nu5
想	sloeng2
惹	je5
愁	cau4
愈	jyu6
愉	jyu4
意	ji3
愚	jyu4
愛	oi3
感	gaam2
愧	kwai3
愿	jyun6
慄	lat6
慈	ci4
態	taai3
慌	fong1
慎	san6
