tʃy55	zyu1
ʃy22	syu6
tʃy55	zyu1
tʃy35	zyu2
tʃy33	zyu3
tʃy33	zyu3
tʃy33	zyu3
khy55	kyu1
ʃy55	syu1
ʃy33	syu3
ʃy55	syu1
tʃhy21	cyu4
ʃy22	syu6
ʃy22	syu6
ʃy22	syu6
jy21	jyu4
jui24	jui5
jui33	jui3
khy55	kyu1
khy55	kyu1
khy55	kyu1
ky35	gyu2
ky33	gyu3
khy55	kyu1
khy55	kyu1
khy21	kyu4
ky22	gyu6
ky22	gyu6
jy21	jyu4
jy21	jyu4
jy21	jyu4
jy21	jyu4
jy21	jyu4
hy55	hyu1
jy55	jyu1
jy21	jyu4
hy24	hyu5
hy24	hyu5
jy21	jyu4
hy24	hyu5
hu21	hu4
hy21	hyu4
hy21	hyu4
hy21	hyu4
hy21	hyu4
hy21	hyu4
hy21	hyu4
pui33	bui3
phui33	pui3
tai55	daai1
tai33	daai3
tai33	daai3
thɔi55	toi1
thɔi21	toi4
thai33	taai3
tɔi22	doi6
thai33	taai3
thai33	taai3
thɔi21	toi4
thɔi21	toi4
thɔi21	toi4
thɔi21	toi4
tɔi22	doi6
tɔi22	doi6
tɔi22	doi6
tɔi22	doi6
tɔi22	doi6
tɐi21	dai4
tai22	daai6
nai24	naai5
nɔi22	noi6
nɔi22	noi6
lɔi21	loi4
lai22	laai6
lai33	laai3
tʃɔi55	zoi1
tʃɔi55	zoi1
tʃɔi35	zoi2
tʃɔi33	zoi3
tʃɐi35	zai2
tʃɔi33	zoi3
tʃɔi33	zoi3
tʃhai55	caai1
tʃhɔi35	coi2
tʃhɔi35	coi2
tʃhɔi35	coi2
tʃhɔi33	coi3
tʃhɔi33	coi3
tʃhɔi21	coi4
tʃhɔi21	coi4
tʃhɔi21	coi4
tʃhɔi21	coi4
tʃɔi22	zoi6
tʃɔi33	zoi3
ɬɔi55	sloi1
ɬɔi55	sloi1
ʃai33	saai3
kɔi55	goi1
kɔi35	goi2
khɔi33	koi3
khɔi33	koi3
hɔi24	hoi5
khɔi33	koi3
hɔi55	hoi1
hɔi35	hoi2
khɔi33	koi3
khɔi33	koi3
ŋɔi21	ngoi4
ŋɔi21	ngoi4
ŋai22	ngaai6
hɔi35	hoi2
hai21	haai4
hɔi24	hoi5
hɔi22	hoi6
øɔi55	oi1
øɔi55	oi1
øɔi33	oi3
øɔi35	oi2
pai33	baai3
phai21	paai4
mai21	maai4
lai24	laai5
tʃai55	zaai1
tʃhai21	caai4
kai55	gaai1
kai55	gaai1
kai33	gaai3
kai33	gaai3
kai33	gaai3
kai33	gaai3
kai33	gaai3
kai33	gaai3
kai33	gaai3
hai55	haai1
kai55	gaai1
hai21	haai4
hai24	haai5
hai24	haai5
øai55	aai1
pai35	baai2
phai33	paai3
phai21	paai4
phai21	paai4
pa22	baa6
pai22	baai6
mai24	maai5
mai22	maai6
nai24	naai5
tʃai33	zaai3
tʃhai55	caai1
tʃhai55	caai1
tʃhai21	caai4
ʃɐi55	sai1
ʃai33	saai3
kai55	gaai1
kai55	gaai1
kai35	gaai2
hai24	haai5
kai33	gaai3
ŋai21	ngaai4
ŋai21	ngaai4
ŋai21	ngaai4
hai21	haai4
kai35	gaai2
kai35	gaai2
hai24	haai5
øɐi35	ai2
øai33	aai3
pai22	baai6
mai22	maai6
tʃai33	zaai3
pɐi33	bai3
pɐi22	bai6
pɐi22	bai6
pɐi22	bai6
pi22	bi6
lɐi22	lai6
li22	li6
lɐi22	lai6
tʃɐi22	zai6
tʃɐi33	zai3
tʃɐi33	zai3
ʃɐi33	sai3
ʃɐi33	sai3
ʃɐi22	sai6
ʃɐi22	sai6
ŋɐi22	ngai6
pi55	bi1
pɐi33	bai3
phɐi55	pai1
pɐi22	bai6
mɐi21	mai4
mɐi21	mai4
mɐi24	mai5
mɐi21	mai4
tɐi55	dai1
thɐi21	tai4
tɐi35	dai2
tɐi35	dai2
tɐi35	dai2
tɐi33	dai3
tɐi33	dai3
thɐi33	tai3
thɐi55	tai1
thɐi35	tai2
thɐi33	tai3
thɐi33	tai3
thɐi33	tai3
thɐi22	tai6
thɐi21	tai4
thɐi21	tai4
thɐi21	tai4
thɐi21	tai4
tɐi22	dai6
tɐi22	dai6
tɐi22	dai6
nɐi21	nai4
nɐi21	nai4
lɐi21	lai4
lɐi21	lai4
lɐi24	lai5
lɐi21	lai4
tɐi22	dai6
lɐi21	lai4
tʃɐi33	zai3
tʃɐi33	zai3
tʃɐi55	zai1
tʃɐi33	zai3
tʃhɐi55	cai1
tʃhɐi55	cai1
tʃhɐi33	cai3
tʃhɐi21	cai4
tʃhi21	ci4
tʃhi21	ci4
tʃɐi55	zai1
ɬɐi55	slai1
tʃhɐi55	cai1
ɬɐi55	slai1
ɬai35	slaai2
ɬɐi33	slai3
ɬɐi33	slai3
kɐi55	gai1
khɐi55	kai1
kɐi33	gai3
kɐi33	gai3
kɐi33	gai3
kɐi33	gai3
khɐi55	kai1
khɐi35	kai2
khɐi33	kai3
ŋɐi21	ngai4
ŋɐi21	ngai4
khɐi55	kai1
hɐi22	hai6
hɐi22	hai6
hɐi22	hai6
øai33	aai3
ŋɐi33	ngai3
pui55	bui1
pui33	bui3
pui33	bui3
pui33	bui3
phi55	pi1
phi55	pi1
phui33	pui3
phui21	pui4
phui21	pui4
phui21	pui4
phui21	pui4
phui24	pui5
phui33	pui3
pui22	bui6
pui22	bui6
mui21	mui4
mui21	mui4
mui21	mui4
mui21	mui4
mui21	mui4
mui21	mui4
mui21	mui4
mui24	mui5
mui35	mui2
mi22	mi6
tui55	dui1
tui33	dui3
tui33	dui3
thui55	tui1
thui35	tui2
thui33	tui3
thui21	tui4
tui22	dui6
nɔi21	noi4
lui21	lui4
lui21	lui4
lui22	lui6
lui24	lui5
lui21	lui4
tʃhui55	cui1
tʃhui55	cui1
tʃhui55	cui1
tʃui22	zui6
ɬui33	slui3
khuɐi55	kwai1
fui55	fui1
fui55	fui1
wai35	waai2
wai33	waai3
ŋɐi21	ngai4
fui55	fui1
khui35	kui2
fui33	fui3
fui33	fui3
hui21	hui4
hui21	hui4
hui21	hui4
khuɐi33	kwai3
khuɐi33	kwai3
wui55	wui1
thui33	tui3
tui33	dui3
tʃui33	zui3
hui21	hui4
khui33	kui3
khui35	kui2
ŋɔi22	ngoi6
hui22	hui6
hui24	hui5
hui22	hui6
kuai55	gwaai1
kuai33	gwaai3
wai33	waai3
wai21	waai4
wai21	waai4
wai21	waai4
wai22	waai6
kuai35	gwaai2
kua33	gwaa3
kua33	gwaa3
wai55	waai1
wak2	waak6
wa55	waa1
khuai33	kwaai3
khuai33	kwaai3
wa22	waa6
tʃhui33	cui3
ɬui33	slui3
tʃui22	zui6
tʃui22	zui6
ʃui33	sui3
ʃyt3	syut3
kuɐi33	gwai3
wɐi22	wai6
wɐi22	wai6
ȵui22	njui6
fɐi33	fai3
fɐi33	fai3
fɐi22	fai6
wɐi22	wai6
kuɐi55	gwai1
kuɐi55	gwai1
kuɐi33	gwai3
khuɐi21	kwai4
khuɐi21	kwai4
khuɐi21	kwai4
wɐi22	wai6
wɐi22	wai6
pi55	bi1
pi55	bi1
phi35	pi2
pi33	bi3
phi55	pi1
pi24	bi5
phi21	pi4
phi21	pi4
phi55	pi1
phi24	pi5
phi24	pi5
pi22	bi6
pi22	bi6
mi21	mi4
mi21	mi4
ni21	ni4
mɛt2	met6
mɐi21	mai4
li21	li4
li21	li4
li55	li1
li21	li4
tʃi35	zi2
tʃhi55	ci1
tʃhi35	ci2
tʃhi33	ci3
tʃhi55	ci1
ɬy55	slyu1
ɬy55	slyu1
ɬy55	slyu1
ɬai24	slaai5
ɬai35	slaai2
tʃhi33	ci3
tʃi55	zi1
tʃi55	zi1
tʃi33	zi3
tʃhi21	ci4
tʃhi21	ci4
tʃhi21	ci4
tʃhi55	ci1
tʃi55	zi1
tʃi55	zi1
tʃi55	zi1
tʃi55	zi1
tʃi35	zi2
tʃi35	zi2
tʃhi55	ci1
tʃhi21	ci4
ʃi55	si1
tʃhi33	ci3
ʃi21	si4
ʃi21	si4
ʃi21	si4
ʃi21	si4
ʃi21	si4
ji21	ji4
ji24	ji5
ki55	gi1
ki33	gi3
khi24	ki5
khi21	ki4
khɛ21	ke4
khi21	ki4
khi21	ki4
khi24	ki5
ki22	gi6
ki22	gi6
ȵi21	nji4
ji21	ji4
ŋɐi24	ngai5
ȵi21	nji4
ji21	ji4
ji24	ji5
hi55	hi1
hi33	hi3
ji35	ji2
ji35	ji2
hi21	hi4
hi21	hi4
pi55	bi1
pi35	bi2
pi35	bi2
phi35	pi2
pi33	bi3
pi33	bi3
pi33	bi3
pi33	bi3
pi35	bi2
phi55	pi1
phi33	pi3
phi21	pi4
phi21	pi4
mɐu55	mau1
pi22	bi6
pi22	bi6
pi22	bi6
mi21	mi4
mi21	mi4
mui21	mui4
mi24	mi5
mi22	mi6
mi22	mi6
ti22	di6
ni21	ni4
ni21	ni4
ni22	ni6
li21	li4
li21	li4
ly24	lyu5
li22	li6
li22	li6
tʃi55	zi1
tʃi55	zi1
tʃi55	zi1
tʃi35	zi2
tʃhi33	ci3
tʃhi21	ci4
tʃhi21	ci4
tʃhi33	ci3
tʃi22	zi6
ɬi55	sli1
ɬi35	sli2
ɬi33	sli3
ɬi33	sli3
tʃi33	zi3
tʃɐt5	zat1
tʃhi21	ci4
tʃhi33	ci3
tʃi22	zi6
ɬy55	slyu1
ɬy55	slyu1
ɬy55	slyu1
tʃi55	zi1
tʃi35	zi2
tʃi35	zi2
tʃi33	zi3
ʃi22	si6
ʃi55	si1
ʃi35	si2
ʃi35	si2
ʃi22	si6
ʃi22	si6
ji21	ji4
ji21	ji4
ki55	gi1
ki55	gi1
ki55	gi1
hi33	hi3
hi33	hi3
khi21	ki4
khi21	ki4
ji55	ji1
hi21	hi4
hi21	hi4
ni24	ni5
li21	li4
li21	li4
li24	li5
li24	li5
li24	li5
li24	li5
li24	li5
li21	li4
tʃi55	zi1
tʃi55	zi1
tʃi35	zi2
tʃi35	zi2
tʃhi21	ci4
tʃhi21	ci4
tʃhi21	ci4
ɬi21	sli4
ɬi55	sli1
ɬi55	sli1
ɬi55	sli1
ʃi22	si6
tʃhi21	ci4
tʃhi21	ci4
tʃhi21	ci4
tʃhi24	ci5
ki24	gi5
ki24	gi5
tʃhi21	ci4
tʃhi21	ci4
tʃhi21	ci4
