吊	diu3
吋	cyun3
同	tung4
名	meng4
名	ming4
后	hau6
吏	li6
吐	tu3
向	hoeng3
吒	caak1
吒	zaa1
吓	haa1
吓	haak3
吔	jaa1
吖	aa1
吙	fo2
君	gwan1
吝	lan6
吝	lyun6
吞	tan1
吟	jam4
吟	ngam4
吠	fai6
否	fau2
否	pi2
吧	baa1
吧	baa6
吨	dan1
吩	fan1
吪	ngo4
含	ham4
听	jan5
听	teng1
听	ting1
听	ting3
吭	hang1
吭	hong4
吮	syun5
吰	hung4
吱	zi1
吳	ng4
吵	caau2
吵	ceu2
吶	naap6
吸	kap1
吹	cui1
吻	man5
吼	hau2
吽	hau2
吽	hung1
吽	ngau6
吾	ng4
呀	aa1
呂	lyu5
呃	ak1
呆	daai1
呆	ngoi4
呇	hi2
呈	cing4
告	gu3
呎	cek3
呢	ne1
呢	ni4
呣	m2
呣	m6
呤	ling4
呥	jim4
呦	jau1
周	zau1
呯	ping4
呰	zi2
呰	zy2
呱	gu1
呱	gwaa1
味	mi6
呵	ho1
呶	naau4
呷	haap3
呸	pi1
呻	san1
呼	fu1
命	meng6
命	ming6
咀	zyu2
咁	gam3
咂	zaap3
咄	dat1
咆	paau4
咇	bit1
咋	zaa3
和	wo4
咎	gau3
咐	fu3
咑	daa1
咑	daak1
咒	zau3
咔	kaa1
咔	kaa4
咕	gu1
咖	gaa3
咗	zo2
咚	dung1
咡	ji6
咦	ji2
咧	le1
咧	lit6
咨	zi1
咨	zy1
咩	me1
咪	mai1
咪	mi1
咫	zi2
咬	ngaau5
咬	ngeu5
咭	gat1
咯	gok3
咯	lo1
咯	lok3
咱	zaa1
咲	sliu3
咳	kat1
咷	tu4
咸	haam4
咸	hem4
咻	jau1
咽	jin1
咽	jin3
咽	jit3
咿	ji1
哀	oi1
品	pan2
哂	can2
哃	tung4
哄	hung1
哄	hung2
哄	hung6
哅	hung1
哆	ci2
哆	do1
哇	waa1
哈	haa1
哉	zoi1
哋	di6
哎	aai1
哐	kwaang1
哞	mau4
員	jyun4
哢	lung6
哣	dau6
哥	go1
哦	ngo4
哦	o2
哦	o4
哧	ci1
哨	saau3
哨	seu3
哩	le1
哩	li1
哩	li5
哪	naa4
哪	naa5
哭	huk1
哮	haau1
哲	zit3
哳	zaat3
哺	pu2
哼	hang1
哼	hng6
哽	ang2
哽	gang2
哽	kang2
唁	jin6
唄	baai6
唄	be6
唆	slo1
唇	san4
唇	syun4
唈	jap1
唉	aai1
唉	aai6
唎	li6
唏	hi1
唐	tong4
唑	zo6
唓	ce1
唔	m4
唚	cam3
唞	tau2
唥	laang1
唥	laang6
唧	zik1
唪	fung2
唬	fu2
售	sau6
唯	wai4
唰	caat3
唱	coeng3
唳	lui6
唷	jo1
唸	nim6
唾	to3
啁	zaau1
啁	zeu1
啃	hang2
啄	doek3
啄	doeng1
商	soeng1
啈	hang1
啈	hng6
啊	aa1
啊	aa2
啊	aa3
啊	aa4
啋	coi1
問	man6
啐	cui3
啓	kai2
啕	tu4
啖	daam6
啜	zyut3
啝	wo6
啞	aa2
啞	ak1
啟	kai2
啡	fe1
啢	loeng2
啣	haam4
啤	be1
啥	saa2
啦	laa1
啩	gwaa3
啪	paak1
啫	ze1
啱	ngaam1
啲	di1
啵	bo1
啶	ding6
啷	long1
啹	goe1
啻	ci3
啼	tai4
啾	zau1
喀	haak3
喀	kaa1
喁	jung4
喁	jyu4
喂	wai3
喃	naam1
喃	naam4
善	sin6
喆	zit3
喇	laa1
喇	laa5
喇	laat3
喈	gaai1
喉	hau4
喊	haam3
喊	hem3
喋	dip6
喍	caai4
喎	wo3
喎	wo5
喏	je5
喏	no6
喏	nok6
喐	juk1
喑	jam1
喓	jiu1
喔	ak1
喔	o1
喘	cyun2
喙	fui3
喚	wun6
喜	hi2
喝	hot3
喟	wai2
喣	hyu2
喧	hyun1
喪	slong1
喪	slong3
喫	hek3
喫	jaak3
喬	kiu4
單	daan1
單	sin6
喰	caan1
喱	li1
喲	jo1
喳	zaa1
喵	meu1
喵	miu1
喺	hai2
喻	jyu6
喼	gep1
喼	gip1
嗄	aa2
嗄	saa3
嗅	cau3
嗆	coeng1
嗆	coeng3
嗇	sik1
嗈	jung1
嗉	slu3
嗉	slui3
嗌	aai3
嗌	jik1
嗍	sok3
嗎	maa1
嗎	maa5
嗑	hap6
嗒	daap1
嗒	dep1
嗒	taap3
嗓	slong2
嗖	slau1
嗗	gut6
嗚	wu1
嗜	si3
嗝	gaak3
嗞	zi1
嗞	zy1
嗟	ze1
嗡	jung1
嗣	ci6
嗣	cy6
嗤	ci1
嗥	hu4
嗦	slo1
嗨	haai1
嗩	slo2
嗬	ho4
嗮	slaai3
嗯	ng2
嗯	ng6
嗰	go2
嗱	naa4
嗲	de2
嗲	de4
嗶	bat1
嗷	ngu4
嗺	cui1
嗻	ze1
嗽	slau3
嗾	slau2
嘀	dik1
嘀	dik6
嘁	ci1
嘅	ge3
嘅	koi3
嘆	taan3
嘈	cu4
嘉	gaa1
嘍	lau4
嘎	gaa1
嘑	fu1
嘑	fu3
嘑	laa3
嘔	au2
嘖	zaak3
嘗	coeng4
嘛	maa3
嘛	maa4
嘞	laa1
嘞	laak3
嘟	du1
嘢	je5
嘣	bang1
嘥	slaai1
嘦	ziu3
嘧	mat6
嘩	waa1
嘩	waa4
嘬	caai3
嘬	zyut3
嘭	paang4
嘮	lu4
嘯	sliu3
嘰	gi1
嘲	zaau1
嘴	zui2
嘵	hiu1
嘶	si1
嘶	sy1
嘹	liu4
嘻	hi1
嘿	hai1
噀	slan3
噀	slyun3
噁	ok3
噁	wu3
噂	zyun2
噃	bo3
噆	caam2
噇	cong4
噉	daam6
噉	gam2
噍	ziu6
噎	jit3
噏	kap1
噏	ngap1
噒	lan1
噓	hyu1
噓	syu4
噔	dang1
噗	puk1
噘	kyut3
噙	kam4
噚	cam4
噝	si1
噝	sy1
噠	daat6
噢	u3
噤	gam3
噥	nung4
噦	jyut3
噦	wai3
器	hi3
噩	ngok6
噪	cu3
噫	ji1
噬	sai6
噯	aai1
噯	oi2
噰	jung1
噱	koek6
噲	faai3
噴	pan3
噶	gaa1
噶	got3
噷	hm1
噸	dan1
噹	dong1
噺	slan1
噻	slak1
噼	pik1
嚀	ning4
嚃	daap6
嚄	o2
嚄	wok6
嚅	jyu4
嚇	haak3
嚊	bi6
嚌	zai6
嚎	hu4
嚏	tai3
嚐	coeng4
嚓	caat3
嚕	lu1
嚙	jit6
嚙	ngaat6
嚚	ngan4
嚜	maa1
嚜	maak1
嚜	mak1
嚜	mak6
嚟	lai4
嚡	haai4
嚤	mo1
嚥	jin3
嚨	lung4
嚭	pi2
嚮	hoeng3
嚯	ho1
嚱	hi1
嚲	do2
嚴	jim4
嚶	jing1
嚷	joeng6
嚹	laa3
嚼	zoek3
嚾	fun1
嚿	gau6
囀	zyun2
囁	zip3
囂	hiu1
囈	ngai6
囉	lo1
囉	lo3
囉	lo4
囊	nong4
囌	slu1
囑	zuk1
囓	ngaat6
囓	nit6
囔	nong4
囖	lo1
囚	cau4
四	sli3
囝	zai2
回	wui4
囟	slan3
囟	slyun3
因	jan1
囡	naam4
囤	dan2
囤	tan4
囪	cung1
囫	fat1
困	kwan3
困	wan3
囱	cung1
囷	kwan1
囹	ling4
固	gu3
囿	jau6
圂	wan6
圃	pu2
圄	jyu5
圇	lan4
圇	lyun4
圈	gyun3
圈	hyun1
圉	jyu5
圊	cing1
國	gok3
圍	wai4
園	jyun4
圓	jyun4
圖	tu4
團	tyun4
圜	jyun4
圜	waan4
圝	lyun4
圞	lyun4
土	tu2
圢	ting5
圣	sing3
在	zoi6
圩	hyu1
圩	wai4
圪	ngat6
圬	wu1
圭	gwai1
圮	pi2
圯	ji4
地	di6
圳	zan3
圾	slaap3
址	zi2
坁	zi2
坅	ham2
均	gwan1
坉	tan4
坊	fong1
坌	ban6
坍	taan1
坎	ham2
坏	waai6
坐	co5
坑	haang1
坒	bai6
坡	po1
坤	kwan1
坦	taan2
坨	to4
坩	ham1
坪	ping4
坫	dim3
坭	nai4
坯	pui1
坰	gwing1
坳	aau3
坳	eu3
坷	ho2
坺	baat6
坺	bet6
坻	ci4
坻	dai2
坼	caak3
坽	ling4
垂	sui4
垃	laap6
型	jing4
垌	dung6
垌	tung4
垏	lat6
垏	lyut6
垓	goi1
垕	hau5
垙	gong1
垚	jiu4
垛	do3
垞	caa4
垟	joeng4
垠	ngan4
垢	gau3
垣	wun4
垤	dit6
垧	hoeng2
垮	kwaa1
垵	am2
垸	jyun6
垻	baa3
垽	ngan6
垿	zyu6
埂	gang2
埃	oi1
埆	kok3
埋	maai4
埌	long5
城	seng4
城	sing4
埒	lyut3
埔	bu3
埕	cing4
埗	bu6
埞	deng6
域	wik6
埠	bu6
埠	fau6
埭	dai6
埯	am2
埲	bung6
埴	zik6
執	zap1
埸	jik6
培	pui4
基	gi1
埻	zan2
埻	zyun2
埼	ki4
埽	slu3
堀	fat1
堀	wat1
堂	tong4
堃	kwan1
堅	gin1
堆	dui1
堇	gan2
堉	juk6
堊	ok3
堌	gu3
堍	tu3
堐	ngaai4
堙	jan1
堝	go1
堞	dip6
堠	hau6
堡	bu2
堤	tai4
堧	jyun4
堪	ham1
堯	jiu4
堰	jin3
報	bu3
場	coeng4
堵	du2
堶	to4
堽	gong1
堿	gaan2
堿	gen2
塀	ping4
塊	faai3
塊	waai3
塋	jing4
塌	taap3
塍	sing4
塑	slok3
塒	si4
塔	taap3
塗	tu4
塘	tong4
塚	zung2
塝	bong6
塞	slak1
塞	soi3
塢	wu1
塥	gaak3
填	tin4
塬	jyun4
塱	long5
塳	pung1
塵	can4
塹	cim3
塽	song2
塾	suk6
墀	ci4
墁	maan6
境	ging2
墅	syu5
墈	ham3
墉	jung4
墊	dim3
墊	dim6
墓	mu6
墘	kin4
墜	zui6
增	zang1
墟	hyu1
墡	sin6
墦	faan4
墨	mak6
墩	dan1
墩	dan2
墬	di6
墮	do6
墳	fan4
墶	daat3
墻	coeng4
墼	gik1
墾	han2
壁	bik1
壅	jung1
壅	ung1
壆	bok3
壇	taan4
壈	lam5
壋	dong2
壑	kok3
壓	aat3
壕	hu4
壘	lui5
壙	kong3
壚	lu4
壞	waai6
壟	lung5
壠	lung5
壢	lek6
壢	lik6
壤	joeng6
壩	baa3
士	si6
士	sy6
壬	jam4
壯	zong3
壹	jat1
壺	wu4
壻	slai3
壽	sau6
壾	mong5
复	fuk1
夏	haa6
夔	kwai4
夕	zik6
外	ngoi6
夙	sluk1
多	do1
夜	je6
夠	gau3
夢	mung6
夤	jan4
夥	fo2
大	daai2
大	daai6
天	tin1
太	taai3
夫	fu1
夫	fu4
夬	gwaai3
夭	jiu1
央	joeng1
夯	haang1
失	sat1
夷	ji4
夸	kwaa1
夾	gaap3
夾	gep6
奀	ngan1
奄	jim1
奄	jim2
奅	paau3
奅	peu3
奇	gi1
奇	ki4
奈	noi6
奉	fung6
奎	kwai4
奏	zau3
奐	wun6
契	kai3
奔	ban1
奕	jik6
套	tu3
奘	zong6
奚	hai4
奠	din6
奡	ngu6
奢	se1
奧	u3
奩	lim4
奪	dyut6
奭	sik1
奮	fan5
奰	bi6
女	nyu5
奴	nu4
奶	naai1
奶	naai5
奸	gaan1
奸	gen1
她	taa1
奼	caa3
好	hu2
好	hu3
妁	zoek3
如	jyu4
妃	fi1
妄	mong6
妊	jam4
妍	jin4
妒	du6
妓	gi6
妖	jiu1
妗	kam5
妘	wan4
妙	miu6
妝	zong1
妞	nau2
妣	bi2
妤	jyu4
妥	to5
妨	fong4
妬	du6
妮	ni4
妯	zuk6
妲	daat3
妳	ni5
妹	mui1
妹	mui2
妹	mui6
妺	mut6
妻	cai1
妾	cip3
姆	mu5
姈	ling4
姊	zi2
姊	zy2
始	ci2
姍	saan1
姐	ze1
姐	ze2
姑	gu1
姒	ci5
姒	cy5
姓	sling3
委	wai2
姖	gyu6
姘	ping3
姚	jiu4
姜	goeng1
姝	zyu1
姣	gaau2
姣	geu2
姣	haau4
姣	heu4
姤	gau3
姥	lu5
姥	mu5
姦	gaan1
姦	gen1
姨	ji1
姨	ji4
姪	zat6
姬	gi1
姮	hang4
姱	kwaa1
姻	jan1
姼	si4
姿	zi1
姿	zy1
娀	slung1
威	wai1
娃	waa1
娃	waa2
娉	ping1
娌	li5
娑	slo1
娓	mi5
娘	noeng1
娘	noeng4
娛	jyu4
娜	naa4
娜	no4
娟	gyun1
娠	san4
娣	tai5
娥	ngo4
娩	min5
娭	hi1
娭	oi1
娵	zyu1
娶	cyu2
娼	coeng1
婀	o1
婁	lau4
婄	pau3
婆	po4
婉	jyun2
婊	biu2
婌	suk6
婍	ji2
婚	fan1
婚	wan1
婞	hang6
婠	wun1
婢	pi5
婦	fu5
婦	fu6
婦	pu5
婧	zing6
婪	laam4
婭	aa3
婷	ting4
婺	mu6
婻	nam6
婿	slai3
媁	wai1
媄	mi5
媊	zin2
媒	mui4
媓	wong4
媚	mi6
媛	jyun4
媞	tai4
媟	slit3
媧	wo1
媪	u2
媯	gwai1
媱	jiu4
媲	pi3
媳	slik1
媸	ci1
媼	u2
媽	maa1
媾	kau3
媿	kwai3
嫁	gaa3
嫂	slu2
嫄	jyun4
嫉	zat6
嫋	niu5
嫌	him4
嫌	jim4
嫖	piu4
嫗	jyu2
嫘	lui4
嫚	maan6
嫜	zoeng1
嫠	li4
嫡	dik1
嫣	jin1
嫦	coeng4
嫩	nyun6
嫪	lu6
嫫	mu4
嫭	wu6
嫲	maa4
嫵	mu5
嫺	haan4
嫻	haan4
嫽	liu4
嫿	waak6
嬀	gwai1
嬃	slyu1
嬅	waa6
嬈	jiu4
嬉	hi1
嬋	sim4
嬌	giu1
嬔	faan3
嬗	sin6
嬙	coeng4
嬝	niu5
嬡	oi3
嬤	maa1
嬪	ban3
嬬	jyu4
嬭	naai5
嬰	jing1
嬲	nau1
嬲	niu5
嬴	jing4
嬸	sam2
嬾	laan5
孀	sloeng1
孃	noeng1
孃	noeng4
孅	cim1
子	zi2
子	zy2
孑	kit3
孓	kyut3
孔	hung2
孕	jan6
孕	jyun6
孖	maa1
孖	me1
字	zi6
字	zy6
存	cyun4
孚	fu1
孜	zi1
孜	zy1
孝	haau3
孟	maang6
孢	baau1
季	gwai3
孤	gu1
孥	nu4
孩	haai4
孫	slyun1
孭	me1
孰	suk6
孱	caan3
孱	saan4
孳	zi1
孳	zy1
孵	fu1
學	hok6
孺	jyu4
孻	laai1
孽	nit6
孿	lyun4
宁	cyu5
宁	ning4
宂	jung2
它	taa1
宄	gwai2
宅	zaak6
宇	jyu5
守	sau2
安	on1
宋	slung3
完	jyun4
宏	hung4
宕	dong6
宗	zung1
官	gun1
宙	zau6
定	deng6
定	ding6
宛	jyun2
宜	ni4
客	haak3
宣	slyun1
室	sat1
宥	jau6
宦	waan6
宧	ji4
宬	sing4
